39005,39005,LEGAL TAPE 9X36 PINK,,,http://webconnect.groupnews.com.au/prodlarge/39005.jpg,CARD,$5.85,$6.09,5,9,16,0,9310924302281,9310924302281,ESSELTE,Office Supplies » Adhesive Tapes, Dispensers & Accessories » Electrical / Insulation / Cloth
74551,74551,TAPE ALL WEATHER CLING 48MMX15M,680220,Multi-purpose repair tape. High sheer strength. Outdoor applications.,http://webconnect.groupnews.com.au/prodlarge/74551.jpg,EACH,$7.26,$8.07,3,15,11,3,9313156001229,9313156001229,CLING,Office Supplies » Adhesive Tapes, Dispensers & Accessories » Electrical / Insulation / Cloth
99026,99026,TAPE BOOKBINDING CLING 36MMX4.5M BLACK ROLL,745330,1001 uses. Ideal for sealing and insulating. ultra durable. strong grip.,http://webconnect.groupnews.com.au/prodlarge/99026.jpg,PKT,$2.26,$2.51,13,45,21,10,9313156001670,9313156001670,CLING,Office Supplies » Adhesive Tapes, Dispensers & Accessories » Electrical / Insulation / Cloth
99027,99027,TAPE BOOKBINDING CLING 48MMX4.5M ASST,745345,1001 uses. Ideal for sealing and insulating. ultra durable. strong grip.,http://webconnect.groupnews.com.au/prodlarge/99027.jpg,BX12,$21.62,$24.03,8,8,9,0,19313156000717,9313156000710,CLING,Office Supplies » Adhesive Tapes, Dispensers & Accessories » Electrical / Insulation / Cloth
26319,26319,TAPE CLINGTAPE POWER TAPE EXTREME 4M FLUORO YELLOW,479416,Clingtape™ branded quality cloth tape in fluorescent yellow. Strong waterproof cloth tape ideal for office. home & leisure. Can be used to highlight obstacles and hazards or to mark & highlight possessions etc. Safe bright and super strong. 48mm wide x 4m long.,http://webconnect.groupnews.com.au/prodlarge/26319.jpg,EACH,$3.52,$3.93,23,16,25,19,9313156005500,9317354700250,DUCK,Office Supplies » Adhesive Tapes, Dispensers & Accessories » Electrical / Insulation / Cloth
99020,99020,TAPE CLOTH D/SIDED CLING 24MMX5M,679049,Ideal for binding and repairing. Adheres well in moist conditions. Tears easily by hand.,http://webconnect.groupnews.com.au/prodlarge/99020.jpg,PKT,$4.29,$4.77,4,8,18,0,9313156002134,9313156002134,CLING,Office Supplies » Adhesive Tapes, Dispensers & Accessories » Electrical / Insulation / Cloth
26329,26329,TAPE CLOTH WOTAN OLYMPIC 25MMX25M BLACK,141699,,http://webconnect.groupnews.com.au/prodlarge/26329.jpg,EACH,$6.35,$6.68,4,9,7,0,9310353426022,9310353426022,WOTAN,Office Supplies » Adhesive Tapes, Dispensers & Accessories » Electrical / Insulation / Cloth
26330,26330,TAPE CLOTH WOTAN OLYMPIC 25MMX25M BLUE,141700,,http://webconnect.groupnews.com.au/prodlarge/26330.jpg,EACH,$6.35,$6.68,0,5,22,0,9310353426091,9310353426091,WOTAN,Office Supplies » Adhesive Tapes, Dispensers & Accessories » Electrical / Insulation / Cloth
26331,26331,TAPE CLOTH WOTAN OLYMPIC 25MMX25M GREEN,141701,,http://webconnect.groupnews.com.au/prodlarge/26331.jpg,EACH,$6.35,$6.68,9,5,14,0,9310353426169,9310353426169,WOTAN,Office Supplies » Adhesive Tapes, Dispensers & Accessories » Electrical / Insulation / Cloth
26332,26332,TAPE CLOTH WOTAN OLYMPIC 25MMX25M RED,141703,,http://webconnect.groupnews.com.au/prodlarge/26332.jpg,EACH,$6.35,$6.68,5,3,2,0,9310353426305,9310353426305,WOTAN,Office Supplies » Adhesive Tapes, Dispensers & Accessories » Electrical / Insulation / Cloth
